section,subsection,level,description,next steps
Document,None,Pro,"You have a good understanding of the documentation and tools (resumes, cover letters, LinkedIn profile) most commonly used to promote yourself in the context of career development.You keep these documents reasonably updated but you don't routinely seek feedback on them","With key recruiting and hiring documentation constantly updated and reflecting your CVT, consider adding additional elements such as a refined elevator pitch.Prepare pro-forma versions of your documentation to use for planning and goal setting activities"
Document,None,Apprentice ,"You are aware of the documentation and tools most commonly used to promote your capabilities within a career context, but you only sporadically attempt to discover best practices for preparing these documents or keep them updated",Prepare your unique CVT and use it as an input for preparing key documentation integral to the hiring process. Seek feedback on these documents from others familiar with your career interests and target industries
Document,None,Dabbler,You view the documentation and tools most commonly used to promote your capabilities within a career context as only useful within the context of a job search and you only update these documents when needed accordingly,"It has been too long since you updated your resume. Start today and get feedback from connections familiar with your career interests and industry. Gain familiarity with the accepted practices for preparing the key documentation such as resume,(stock)cover letter, references and LinkedIn profile, that are integral to the recruiting and hiring process"
Discover,None,Master ,"Your discovery scores indicate how much of yourcareer development efforts are geared towardsself-discovery and opportunity-discovery. Self-discovery is about understanding more aboutyourself–your personality, talents, motivation andvalues. Opportunity-discovery describes thediscipline of ongoing research into careeropportunities, so you can maintain a feel for themarketability of your capabilities and careeropportunities of interest and how these arechanging.",
Discover,None,Pro,"Your discovery scores indicate how much of yourcareer development efforts are geared towardsself-discovery and opportunity-discovery. Self-discovery is about understanding more aboutyourself–your personality, talents, motivation andvalues. Opportunity-discovery describes thediscipline of ongoing research into careeropportunities, so you can maintain a feel for themarketability of your capabilities and careeropportunities of interest and how these arechanging.",
Discover,None,Apprentice ,"Your discovery scores indicate how much of yourcareer development efforts are geared towardsself-discovery and opportunity-discovery. Self-discovery is about understanding more aboutyourself–your personality, talents, motivation andvalues. Opportunity-discovery describes thediscipline of ongoing research into careeropportunities, so you can maintain a feel for themarketability of your capabilities and careeropportunities of interest and how these arechanging.",
Discover,None,Dabbler,"Your discovery scores indicate how much of yourcareer development efforts are geared towardsself-discovery and opportunity-discovery. Self-discovery is about understanding more aboutyourself–your personality, talents, motivation andvalues. Opportunity-discovery describes thediscipline of ongoing research into careeropportunities, so you can maintain a feel for themarketability of your capabilities and careeropportunities of interest and how these arechanging.",
Develop,None,Master ,"Your development scores indicate how much ofyour career development efforts are gearedtowards the development of your capabilities (skillsand domain expertise) and relationships. Thedevelopment of capabilities contribute to animprovement of your unique value proposition. Themore capabilities you have, the more marketableyou are in the talent market.Good relationships areinvaluable in all aspects of career development andmanagement. From helping you discoveropportunities to providing important feedback.Relationships are often the key difference betweenan average career and a great one.",
Develop,None,Pro,"Your development scores indicate how much ofyour career development efforts are gearedtowards the development of your capabilities (skillsand domain expertise) and relationships. Thedevelopment of capabilities contribute to animprovement of your unique value proposition. Themore capabilities you have, the more marketableyou are in the talent market.Good relationships areinvaluable in all aspects of career development andmanagement. From helping you discoveropportunities to providing important feedback.Relationships are often the key difference betweenan average career and a great one.",
Develop,None,Apprentice ,"Your development scores indicate how much ofyour career development efforts are gearedtowards the development of your capabilities (skillsand domain expertise) and relationships. Thedevelopment of capabilities contribute to animprovement of your unique value proposition. Themore capabilities you have, the more marketableyou are in the talent market.Good relationships areinvaluable in all aspects of career development andmanagement. From helping you discoveropportunities to providing important feedback.Relationships are often the key difference betweenan average career and a great one.",
Develop,None,Dabbler,"Your development scores indicate how much ofyour career development efforts are gearedtowards the development of your capabilities (skillsand domain expertise) and relationships. Thedevelopment of capabilities contribute to animprovement of your unique value proposition. Themore capabilities you have, the more marketableyou are in the talent market.Good relationships areinvaluable in all aspects of career development andmanagement. From helping you discoveropportunities to providing important feedback.Relationships are often the key difference betweenan average career and a great one.",
Combined Score,None,Master ,Your combined score is a weighted average of yourscores for the four disciplines. This score providesinsight into how comprehensive theinvestmentyou’re making in your career development is.Ahigher score is indicative of a greater investment inyour career development and a lower score isindicative of a lower investment,
Combined Score,None,Pro,Your combined score is a weighted average of yourscores for the four disciplines. This score providesinsight into how comprehensive theinvestmentyou’re making in your career development is.Ahigher score is indicative of a greater investment inyour career development and a lower score isindicative of a lower investment,
Combined Score,None,Apprentice ,Your combined score is a weighted average of yourscores for the four disciplines. This score providesinsight into how comprehensive theinvestmentyou’re making in your career development is.Ahigher score is indicative of a greater investment inyour career development and a lower score isindicative of a lower investment,
Combined Score,None,Dabbler,Your combined score is a weighted average of yourscores for the four disciplines. This score providesinsight into how comprehensive theinvestmentyou’re making in your career development is.Ahigher score is indicative of a greater investment inyour career development and a lower score isindicative of a lower investment,
