id,question,type,options,section,subsection
14,"How often do you review company information for an organization that is aligned with a career path of interest to you?",select-one,"[['Never', 0], ['Annually', 1], ['Quarterly', 2], ['Monthly', 3], ['Weekly', 4], ['Daily', 5]]",Discover,Discover Opportunities
15,"How often do you conduct informational interviews with others working at organizations or in roles aligned with a career path of interest to you?",select-one,"[['Never', 0], ['Annually', 1], ['Quarterly', 2], ['Monthly', 3]]",Discover,Discover Opportunities
16,"What is your education level?",select-one,"[['Some high school', 1], ['High school graduate or equivalent', 2], ['Post high school or vocational certification or some college', 3], ['Bachelors level degree or equivalent', 4], ['Masters level degree or equivalent', 5], ['Doctorate level degree or equivalent', 6]]",Develop,Develop Skills
17,"How would you rate your level of education in terms of what is required to be competitive for a career path of interest to you?",select-one,"[['Irrelevant', 0], ['Relevant but below the most common level of education', 1], ['At the most common level of education', 2], ['At the highest possible level of education required', 3]]",Develop,Develop Skills
18,"How often do you look at job postings to discover the skills you need for a career path of interest to you?",select-one,"[['Never', 0], ['Once a year', 1], ['Quarterly', 2], ['Monthly', 3], ['Weekly', 4], ['Daily', 5]]",Develop,Develop Skills
19,"How long during the past year were you enrolled in coursework to develop skills needed for a career path of interest to you?",select-one,"[['Never', 0], ['One week', 1], ['One month out of the year', 2], ['Three months out of the year', 3], ['Six months out of the year', 4], ['Nine months or greater', 5]]",Develop,Develop Skills
20,"How many times over the past 5 years did you attend a conference or workshop where you were exposed to content that contributed to knowledge or the development of skills that you believe are important for your career advancement (continuing education units or credits can be considered)?",select-one,"[['Never', 0], ['Once over the last 5 years', 1], ['Twice over the last 5 years', 2], ['Three times over the last 5 years', 3], ['Four times over the last 5 years', 4], ['Five times over the last 5 years', 5]]",Develop,Develop Skills
21,"How often do you visit your online professional social network of choice (e.g. LinkedIn)?",select-one,"[['Never', 0], ['Quarterly', 1], ['Monthly', 2], ['Weekly', 3], ['Daily', 4]]",Develop,Develop Network
22,"How many connections do you have on your online professional social network of choice (e.g., LinkedIn)?",select-one,"[['None', 0], ['Less than 100', 1], ['100 - 500', 2], ['501 - 1000', 3], ['1001 - 2500', 4], ['2501 - 5000', 5], ['More than 5000', 6]]",Develop,Develop Network
23,"What percentage of your connections on your online professional social network of choice are in your area of career interest?",select-one,"[['1% - 10%', 1], ['11% - 20%', 2], ['21% to 30%', 3], ['31% - 40%', 4], ['41% - 50%', 5]]",Develop,Develop Network
24,"How many of your connections on your online professional social network of choice do you believe will invest their time to assist you with your most important career goals (for example, help you with your job search, recommend you for a position, or help you set up an informational interview)?",select-one,"[['None', 0], ['1', 2], ['2 - 5', 4], ['6 - 10', 6], ['More than 10', 8]]",Develop,Develop Network
25,"How many of your connections from question 24 above are in an industry of interest to you?",select-one,"[['None', 0], ['1', 2], ['2 - 5', 4], ['6 - 10', 6], ['More than 10', 8]]",Develop,Develop Network
26,"How many of your off-line professional connections do you believe will invest their time to assist you with your most important career goals (for example, help you with your job search, recommend you for a position, or help you set up an informational interview)?",select-one,"[['None', 0], ['1', 2], ['2 - 5', 4], ['6 - 10', 6], ['More than 10', 8]]",Develop,Develop Network
27,"How many of your connections from question 26 above are in an industry of interest to you?",select-one,"[['None', 0], ['1', 2], ['2 - 5', 4], ['6 - 10', 6], ['More than 10', 8]]",Develop,Develop Network
28,"How many of your connections from question 24 and 26 above work at organizations you might be interested in working for should you need to find a new position within 3 months?",select-one,"[['None', 0], ['1', 2], ['2 - 5', 4], ['6 - 10', 6], ['More than 10', 8]]",Develop,Develop Network
29,"How often do you review key theories or fundamentals of your field? (Note: these are the key pieces of knowledge that every practitioner in your field has been exposed to at some point)",select-one,"[['Never', 0], ['Yearly', 1], ['Quarterly', 2], ['Monthly', 3], ['Weekly', 4], ['Daily', 5]]",Differentiate,None
30,"How often do you read articles to keep up with developments in your field? (Note: please include continuing education credit activities if applicable)",select-one,"[['Never', 0], ['Yearly', 1], ['Quarterly', 2], ['Monthly', 3], ['Weekly', 4], ['Daily', 5]]",Differentiate,None
31,"A career value thesis (CVT™) statement is a concise narrative of no longer than 2 to 3 pages used to facilitate one’s ability to describe how they can uniquely create or add value as an employee. The statement should reflect a good understanding of one’s personality, values, strengths, problem-solving styles, educational or training background, relationships, skills, and domain expertise. Have you written a statement that can be considered a CVT statement?",select-one,"[['I have never Developd a CVT statement', 0], ['I understand the concept of a CVT statement but the last time I put together something similar was more than 5 years ago', 1], ['My CVT statement is less than 5 years old', 2], ['My CVT statement is less than 1 year old', 3]]",Differentiate,None
32,"How well do you think you can integrate “29” and “30” above and apply the concepts to show how you might uniquely add value to an organization in a job interview type situation?",select-one,"[['I’ve never thought about it', 0], ['I’ve given this some thought and understand the importance', 1], ['My career value thesis (CVT) reflects this integration', 2], ['I routinely leverage revisited or new knowledge in my work and professional interactions', 3]]",Differentiate,None
33,"Over the last 5 years, I have given organization-wide presentations that expose the rest of the organization to my work and/or capabilities.",select-one,"[['I have never given organization-wide presentations or it has been over 5 years since my last such presentation', 0], ['I have given 1 organization-wide presentation', 1], ['I have given 2 organization-wide presentations', 2], ['I have given 3 organization-wide presentations', 3], ['I have given 4 organization-wide presentations', 4], ['I have given 5 or more organization-wide presentations', 5]]",Differentiate,None
34,"Over the last 5 years I have given presentations at industry-wide conferences such as at an industry or professional development conference (e.g. a presentation at the annual meeting of the National Association of Social Workers).",select-one,"[['I have never given industry-wide presentations', 0], ['I have given 1 industry-wide presentation', 1], ['I have given 2 industry-wide presentations', 2], ['I have given 3 industry-wide presentations', 3], ['I have given 4 industry-wide presentations', 4], ['I have given 5 or more industry-wide presentations', 5], ['Does Not Apply (Self-Employed)', 0]]",Differentiate,None
35,"Over the last 5 years, I have written articles for a publication associated with my industry or a professional development organization I am affiliated with.",select-one,"[['I have never written an article for a publication associated with my industry or a professional development organization I’m affiliated with or it has been over 5 years since my last such publication', 0], ['I have written 1 article for a publication associated with my industry or a professional development organization I’m affiliated with', 1], ['I have written 2 articles for a publication associated with my industry or a professional development organization I’m affiliated with', 2], ['I have written 3 articles for a publication associated with my industry or a professional development organization I’m affiliated with', 3], ['I have written 4 articles for a publication associated with my industry or a professional development organization I’m affiliated with', 4], ['I have written more than 5 articles for a publication associated with my industry or a professional development organization I’m affiliated with', 5]]",Differentiate,None
36,"Over the last 5 years, I have written articles on LinkedIn or Medium related to my profession or expertise.",select-one,"[['I have never written articles on LinkedIn or Medium', 0], ['I have written 1 article on LinkedIn or Medium', 1], ['I have written 2 articles on LinkedIn or Medium', 2], ['I have written 3 articles on LinkedIn or Medium', 3], ['I have written 4 articles on LinkedIn or Medium', 4], ['I have written more than 5 articles on LinkedIn or Medium', 5]]",Differentiate,None
37,"When was the last time you updated your resume?",select-one,"[['More than 5 years ago', 0], ['Within the last 5 years', 1], ['Within the last year', 2], ['Within the last 6 months', 3], ['Within the last 3 months', 4]]",Document,None
38,"When was the last time you received feedback on your resume by someone who is not a family member?",select-one,"[['I have not had someone who is not a family member review my resume within the last 5 years', 0], ['Within the last 5 years', 1], ['Within the last year', 2], ['Within the last 6 months', 3], ['Within the last 3 months', 4]]",Document,None
39,"Does your resume reflect the most current best practices on the most effective way to compose a resume for someone in your field and with your level of experience?",select-one,"[['No, or I have never sought guidance on the most effective way to compose my resume', 0], ['My resume reflects guidelines from content I saw recently that seemed to be well-reviewed', 1], ['I believe my resume reflects the latest thinking on composing a resume for someone in my field and with my level of experience', 2]]",Document,None
40,"When was the last time you updated your LinkedIn profile?",select-one,"[['I do not have a LinkedIn profile', 0], ['More than 5 years ago', 0], ['Within the last 5 years', 1], ['Within the last year', 2], ['Within the last 6 months', 3], ['Within the last 3 months', 4]]",Document,None
41,"When was the last time you received feedback on your LinkedIn profile by someone who was not a family member?",select-one,"[['I have never had someone who was not a family member review my LinkedIn profile', 0], ['Within the last 5 years', 1], ['Within the last year', 2], ['Within the last 6 months', 3], ['Within the last 3 months', 4]]",Document,None
42,"Does your LinkedIn profile reflect the most current best practices on the most effective way to compose your LinkedIn profile?",select-one,"[['No, or I have never sought guidance on the most effective way to compose my LinkedIn profile', 0], ['My LinkedIn profile reflects guidelines from content I saw recently that seemed to be well-reviewed', 1], ['I believe my LinkedIn profile reflects the latest thinking on composing a LinkedIn profile for someone with my level of experience', 2]]",Document,None
43,"An elevator pitch within a career development context is a short concise and rehearsed statement about how an individual is positioned to uniquely create/add value to an employer. As the name suggests, the elevator pitch must be short enough to be delivered to someone sharing an elevator ride with you. Have you prepared an individual elevator pitch?",select-one,"[['I have never developed an individual elevator pitch', 0], ['I understand the concept of an individual elevator pitch but the last one I put together is more than 5 years old', 1], ['My individual elevator pitch is less than 5 years old', 2], ['My individual elevator pitch is less than 1 year old', 3]]",Document,None
44,"A stock cover letter is a document that you’ve prepared that contains the essence of how you could uniquely add value to an organization or in a professional setting. It is written with the goal of introducing yourself to a potential recruiter or hiring manager. The stock cover letter serves as a starting point, which is typically customized for a particular employer when preparing a cover letter that will accompany a resume. When was the last time you prepared a stock cover letter?",select-one,"[['I have never prepared a stock cover letter', 0], ['I understand the concept of a stock cover letter but the last one I put together is more than 5 years old', 1], ['My stock cover letter is less than 5 years old', 2], ['My stock cover letter is less than 1 year old', 3], ['Does Not Apply (Self-Employed)',0]]",Document,None

